match_id,season,team1,team2,venue,toss_winner,toss_decision,batting_first,bowling_first,team1_score,team2_score,winner,win_margin_runs,win_margin_wickets,is_playoff,home_team
1,2008,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,183,159,Mumbai Indians,24,0,0,Mumbai Indians
2,2008,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Mumbai Indians,195,185,Mumbai Indians,0,4,0,Mumbai Indians
3,2008,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Kolkata Knight Riders,169,157,Mumbai Indians,12,0,0,Mumbai Indians
4,2008,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,179,204,Rajasthan Royals,25,0,0,Mumbai Indians
5,2008,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,164,175,Sunrisers Hyderabad,0,4,0,Mumbai Indians
6,2008,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,164,153,Mumbai Indians,11,0,0,Mumbai Indians
7,2008,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,bat,Punjab Kings,Mumbai Indians,120,176,Punjab Kings,56,0,0,Mumbai Indians
8,2008,Chennai Super Kings,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Chennai Super Kings,149,137,Chennai Super Kings,0,3,0,Chennai Super Kings
9,2008,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,153,169,Kolkata Knight Riders,0,5,0,Chennai Super Kings
10,2008,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,131,154,Rajasthan Royals,23,0,0,Chennai Super Kings
11,2008,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,157,201,Sunrisers Hyderabad,44,0,0,Chennai Super Kings
12,2008,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,174,132,Chennai Super Kings,42,0,0,Chennai Super Kings
13,2008,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,bat,Punjab Kings,Chennai Super Kings,164,160,Chennai Super Kings,0,8,0,Chennai Super Kings
14,2008,Royal Challengers Bengaluru,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Kolkata Knight Riders,Royal Challengers Bengaluru,171,149,Royal Challengers Bengaluru,0,2,0,Royal Challengers Bengaluru
15,2008,Royal Challengers Bengaluru,Rajasthan Royals,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field,Royal Challengers Bengaluru,Rajasthan Royals,160,156,Royal Challengers Bengaluru,4,0,0,Royal Challengers Bengaluru
16,2008,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Sunrisers Hyderabad,160,203,Sunrisers Hyderabad,0,1,0,Royal Challengers Bengaluru
17,2008,Royal Challengers Bengaluru,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Delhi Capitals,Royal Challengers Bengaluru,139,171,Delhi Capitals,32,0,0,Royal Challengers Bengaluru
18,2008,Royal Challengers Bengaluru,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Punjab Kings,188,136,Royal Challengers Bengaluru,52,0,0,Royal Challengers Bengaluru
19,2008,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,176,119,Kolkata Knight Riders,57,0,0,Kolkata Knight Riders
20,2008,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,167,145,Kolkata Knight Riders,0,6,0,Kolkata Knight Riders
21,2008,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,166,186,Delhi Capitals,20,0,0,Kolkata Knight Riders
22,2008,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,Punjab Kings,170,156,Kolkata Knight Riders,14,0,0,Kolkata Knight Riders
23,2008,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,Sunrisers Hyderabad,142,147,Sunrisers Hyderabad,0,8,0,Rajasthan Royals
24,2008,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,bat,Delhi Capitals,Rajasthan Royals,186,162,Rajasthan Royals,0,6,0,Rajasthan Royals
25,2008,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,Punjab Kings,179,124,Rajasthan Royals,55,0,0,Rajasthan Royals
26,2008,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Stadium, Hyderabad",Delhi Capitals,field,Sunrisers Hyderabad,Delhi Capitals,178,154,Sunrisers Hyderabad,24,0,0,Sunrisers Hyderabad
27,2008,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Stadium, Hyderabad",Sunrisers Hyderabad,field,Punjab Kings,Sunrisers Hyderabad,176,158,Sunrisers Hyderabad,0,4,0,Sunrisers Hyderabad
28,2008,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Punjab Kings,field,Delhi Capitals,Punjab Kings,192,184,Delhi Capitals,8,0,0,Delhi Capitals
29,2008,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,155,156,Chennai Super Kings,1,0,0,Mumbai Indians
30,2008,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bengaluru,180,184,Royal Challengers Bengaluru,0,9,0,Mumbai Indians
31,2008,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,164,158,Mumbai Indians,6,0,0,Mumbai Indians
32,2008,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,151,136,Mumbai Indians,15,0,0,Mumbai Indians
33,2008,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,192,188,Mumbai Indians,0,2,0,Mumbai Indians
34,2008,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,172,185,Delhi Capitals,0,3,0,Mumbai Indians
35,2008,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,bat,Punjab Kings,Mumbai Indians,148,178,Punjab Kings,30,0,0,Mumbai Indians
36,2008,Chennai Super Kings,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,field,Chennai Super Kings,Royal Challengers Bengaluru,180,197,Royal Challengers Bengaluru,0,9,0,Chennai Super Kings
37,2008,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,Kolkata Knight Riders,172,197,Kolkata Knight Riders,0,9,0,Chennai Super Kings
38,2008,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,180,120,Chennai Super Kings,0,5,0,Chennai Super Kings
39,2008,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,155,173,Sunrisers Hyderabad,18,0,0,Chennai Super Kings
40,2008,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,118,173,Delhi Capitals,55,0,0,Chennai Super Kings
41,2008,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,field,Punjab Kings,Chennai Super Kings,170,167,Chennai Super Kings,0,9,0,Chennai Super Kings
42,2008,Royal Challengers Bengaluru,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Kolkata Knight Riders,201,151,Royal Challengers Bengaluru,50,0,0,Royal Challengers Bengaluru
43,2008,Royal Challengers Bengaluru,Rajasthan Royals,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Rajasthan Royals,156,151,Royal Challengers Bengaluru,5,0,0,Royal Challengers Bengaluru
44,2008,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field,Royal Challengers Bengaluru,Sunrisers Hyderabad,190,170,Royal Challengers Bengaluru,20,0,0,Royal Challengers Bengaluru
45,2008,Royal Challengers Bengaluru,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Delhi Capitals,Royal Challengers Bengaluru,174,161,Royal Challengers Bengaluru,0,5,0,Royal Challengers Bengaluru
46,2008,Royal Challengers Bengaluru,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Punjab Kings,174,184,Punjab Kings,0,2,0,Royal Challengers Bengaluru
47,2008,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Rajasthan Royals,Kolkata Knight Riders,155,158,Rajasthan Royals,3,0,0,Kolkata Knight Riders
48,2008,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,Sunrisers Hyderabad,164,131,Kolkata Knight Riders,33,0,0,Kolkata Knight Riders
49,2008,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Delhi Capitals,bat,Delhi Capitals,Kolkata Knight Riders,168,177,Delhi Capitals,9,0,0,Kolkata Knight Riders
50,2008,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat,Punjab Kings,Kolkata Knight Riders,157,171,Punjab Kings,14,0,0,Kolkata Knight Riders
51,2008,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,153,143,Rajasthan Royals,0,7,0,Rajasthan Royals
52,2008,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,field,Rajasthan Royals,Delhi Capitals,165,145,Rajasthan Royals,20,0,0,Rajasthan Royals
53,2008,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat,Punjab Kings,Rajasthan Royals,171,168,Rajasthan Royals,0,4,0,Rajasthan Royals
54,2008,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Stadium, Hyderabad",Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,167,209,Delhi Capitals,42,0,0,Sunrisers Hyderabad
55,2008,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Stadium, Hyderabad",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Punjab Kings,177,161,Sunrisers Hyderabad,16,0,0,Sunrisers Hyderabad
56,2008,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,Punjab Kings,133,163,Punjab Kings,0,4,0,Delhi Capitals
57,2009,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,216,174,Mumbai Indians,0,2,0,Mumbai Indians
58,2009,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Royal Challengers Bengaluru,Mumbai Indians,168,168,Mumbai Indians,0,8,0,Mumbai Indians
59,2009,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,136,172,Kolkata Knight Riders,36,0,0,Mumbai Indians
60,2009,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,196,179,Mumbai Indians,17,0,0,Mumbai Indians
61,2009,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,189,143,Mumbai Indians,46,0,0,Mumbai Indians
62,2009,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,Mumbai Indians,Delhi Capitals,201,132,Mumbai Indians,69,0,0,Mumbai Indians
